method,flag,base_n,base_win_pct,base_roi,risk_n,risk_win_pct,risk_roi,safe_n,safe_win_pct,safe_roi,old_risk_n,old_loss_lift,old_safe_roi,recent_risk_n,recent_loss_lift,recent_safe_roi,confirmed,score
original,team_preseason_1win_or_less,91,0.8241758241758241,0.15950524960911766,27,0.5925925925925926,-0.0600916262771391,64,0.921875,0.2521476816236322,14,0.2590799031476998,0.2240598840012341,13,0.19711538461538458,0.31867141283457506,True,10.5488377197776
stricter,team_preseason_1win_or_less,64,0.859375,0.17164793281645835,16,0.625,-0.04192684183810319,48,0.9375,0.24283952436797884,8,0.2530487804878049,0.21872620519168828,8,0.20108695652173914,0.295888826555818,True,10.525327328561065
original,team_preseason_losing,91,0.8241758241758241,0.15950524960911766,26,0.6153846153846154,-0.023941304210875217,65,0.9076923076923077,0.23288387113711478,14,0.2590799031476998,0.2240598840012341,12,0.14583333333333337,0.25273784219284623,True,10.478291858009031
original,team_preseason_record_worse_than_opponent,91,0.8241758241758241,0.15950524960911766,21,0.6190476190476191,-0.045872958511153396,70,0.8857142857142857,0.22111871204519895,14,0.2590799031476998,0.24797526003433162,7,0.0982142857142857,0.1727769256647603,True,10.418907651298069
stricter,team_preseason_losing,64,0.859375,0.17164793281645835,15,0.6666666666666666,0.021944702039356626,49,0.9183673469387755,0.21747545244210173,8,0.2530487804878049,0.21872620519168828,7,0.11180124223602483,0.2148957748960794,True,10.410677542349474
original,team_preseason_negative_margin,91,0.8241758241758241,0.15950524960911766,35,0.6857142857142857,0.06327364592986041,56,0.9107142857142857,0.21965000190865344,21,0.16384180790960456,0.22374396703239824,14,0.0982142857142857,0.21100718664741436,True,10.322200845923426
