result,player1,player2,player1_url,player2_url,weightclass,method,round,time,time_format,referee,details,player1_nickname,player2_nickname,event_date,event_location,event_url,p1_rd1_KD,p1_rd2_KD,p1_rd3_KD,p1_rd4_KD,p1_rd5_KD,p1_rd1_Sig_str,p1_rd2_Sig_str,p1_rd3_Sig_str,p1_rd4_Sig_str,p1_rd5_Sig_str,p1_rd1_Total_str,p1_rd2_Total_str,p1_rd3_Total_str,p1_rd4_Total_str,p1_rd5_Total_str,p1_rd1_Td,p1_rd2_Td,p1_rd3_Td,p1_rd4_Td,p1_rd5_Td,p1_rd1_Sub_att,p1_rd2_Sub_att,p1_rd3_Sub_att,p1_rd4_Sub_att,p1_rd5_Sub_att,p1_rd1_Rev,p1_rd2_Rev,p1_rd3_Rev,p1_rd4_Rev,p1_rd5_Rev,p1_rd1_Ctrl,p1_rd2_Ctrl,p1_rd3_Ctrl,p1_rd4_Ctrl,p1_rd5_Ctrl,p2_rd1_KD,p2_rd2_KD,p2_rd3_KD,p2_rd4_KD,p2_rd5_KD,p2_rd1_Sig_str,p2_rd2_Sig_str,p2_rd3_Sig_str,p2_rd4_Sig_str,p2_rd5_Sig_str,p2_rd1_Total_str,p2_rd2_Total_str,p2_rd3_Total_str,p2_rd4_Total_str,p2_rd5_Total_str,p2_rd1_Td,p2_rd2_Td,p2_rd3_Td,p2_rd4_Td,p2_rd5_Td,p2_rd1_Sub_att,p2_rd2_Sub_att,p2_rd3_Sub_att,p2_rd4_Sub_att,p2_rd5_Sub_att,p2_rd1_Rev,p2_rd2_Rev,p2_rd3_Rev,p2_rd4_Rev,p2_rd5_Rev,p2_rd1_Ctrl,p2_rd2_Ctrl,p2_rd3_Ctrl,p2_rd4_Ctrl,p2_rd5_Ctrl,p1_rd1_Head,p1_rd2_Head,p1_rd3_Head,p1_rd4_Head,p1_rd5_Head,p1_rd1_Body,p1_rd2_Body,p1_rd3_Body,p1_rd4_Body,p1_rd5_Body,p1_rd1_Leg,p1_rd2_Leg,p1_rd3_Leg,p1_rd4_Leg,p1_rd5_Leg,p1_rd1_Distance,p1_rd2_Distance,p1_rd3_Distance,p1_rd4_Distance,p1_rd5_Distance,p1_rd1_Clinch,p1_rd2_Clinch,p1_rd3_Clinch,p1_rd4_Clinch,p1_rd5_Clinch,p1_rd1_Ground,p1_rd2_Ground,p1_rd3_Ground,p1_rd4_Ground,p1_rd5_Ground,p2_rd1_Head,p2_rd2_Head,p2_rd3_Head,p2_rd4_Head,p2_rd5_Head,p2_rd1_Body,p2_rd2_Body,p2_rd3_Body,p2_rd4_Body,p2_rd5_Body,p2_rd1_Leg,p2_rd2_Leg,p2_rd3_Leg,p2_rd4_Leg,p2_rd5_Leg,p2_rd1_Distance,p2_rd2_Distance,p2_rd3_Distance,p2_rd4_Distance,p2_rd5_Distance,p2_rd1_Clinch,p2_rd2_Clinch,p2_rd3_Clinch,p2_rd4_Clinch,p2_rd5_Clinch,p2_rd1_Ground,p2_rd2_Ground,p2_rd3_Ground,p2_rd4_Ground,p2_rd5_Ground,result_norm,dob1,dob2,reach1,reach2,age1,age2,p1_won,pair_key,fav_prob,fav_is_p1,fav_won,fav_dec,fav_ml,age_adv,reach_adv,profit100
L,Tim Elliott,Muhammad Mokaev,http://ufcstats.com/fighter-details/c96d9178c9ed9e62,http://ufcstats.com/fighter-details/75353550928a7921,Flyweight Bout,Submission,3,3:03,3 Rnd (5-5-5),Jason Herzog,Arm Triangle From Mount,--,The Punisher,2023-10-21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/13a0fb8fbdafb54f,0,0.0,0.0,,,20 of 31,6 of 6,4 of 6,,,34 of 46,33 of 35,4 of 6,,,1 of 1,0 of 0,0 of 0,,,0,2.0,0.0,,,0,0.0,0.0,,,1:40,0:00,0:43,,,0,0.0,0.0,,,10 of 28,3 of 3,1 of 2,,,40 of 58,60 of 65,18 of 23,,,1 of 3,1 of 1,1 of 2,,,0,0.0,1.0,,,0,0.0,0.0,,,1:36,4:56,1:52,,,10 of 19,6 of 6,3 of 5,,,9 of 11,0 of 0,1 of 1,,,1 of 1,0 of 0,0 of 0,,,14 of 25,0 of 0,0 of 2,,,4 of 4,0 of 0,4 of 4,,,2 of 2,6 of 6,0 of 0,,,4 of 16,3 of 3,1 of 2,,,3 of 8,0 of 0,0 of 0,,,3 of 4,0 of 0,0 of 0,,,9 of 27,0 of 0,1 of 2,,,1 of 1,0 of 0,0 of 0,,,0 of 0,3 of 3,0 of 0,,,L,1986-12-24,2000-07-30,66.0,70.0,36.82484924399543,23.22566514028351,False,http://ufcstats.com/fighter-details/75353550928a7921|http://ufcstats.com/fighter-details/c96d9178c9ed9e62,0.7905405405405406,False,True,1.1923076923076923,-520.0,13.59918410371192,4.0,19.23076923076923
W,Phil Davis,Tim Boetsch,http://ufcstats.com/fighter-details/902ab9197b83d0db,http://ufcstats.com/fighter-details/c80095f6092271a7,Light Heavyweight Bout,Submission,2,2:55,3 Rnd (5-5-5),Herb Dean,Kimura From Side Control,Mr. Wonderful,The Barbarian,2010-11-20,"Auburn Hills, Michigan, USA",http://ufcstats.com/event-details/dd992d569aaebee6,0,0.0,,,,29 of 66,4 of 9,,,,44 of 86,7 of 12,,,,1 of 1,1 of 1,,,,1,1.0,,,,0,0.0,,,,2:22,2:24,,,,0,0.0,,,,5 of 14,2 of 5,,,,6 of 15,4 of 7,,,,0 of 0,0 of 0,,,,0,1.0,,,,0,0.0,,,,0:00,0:07,,,,9 of 35,1 of 5,,,,13 of 22,2 of 3,,,,7 of 9,1 of 1,,,,13 of 30,1 of 5,,,,4 of 6,3 of 4,,,,12 of 30,0 of 0,,,,1 of 8,2 of 4,,,,1 of 2,0 of 0,,,,3 of 4,0 of 1,,,,5 of 14,2 of 4,,,,0 of 0,0 of 1,,,,0 of 0,0 of 0,,,,W,1984-09-25,1981-01-28,79.0,74.0,26.152487730754224,29.81033149209087,True,http://ufcstats.com/fighter-details/902ab9197b83d0db|http://ufcstats.com/fighter-details/c80095f6092271a7,0.8131736526946108,True,True,1.2061855670103092,-485.00000000000017,3.657843761336647,5.0,20.618556701030922
W,Duane Ludwig,Nick Osipczak,http://ufcstats.com/fighter-details/84ac950d4c1722dd,http://ufcstats.com/fighter-details/5b407acfe0ef9b76,Welterweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Marc Goddard,Richard Bertrand 28 - 29. Howard Hughes 28 - 29. Chris Watts 29 - 28.,Bang,--,2010-11-13,"Oberhausen, North Rhine-Westphalia, Germany",http://ufcstats.com/event-details/0ff11cc094e887bc,0,0.0,0.0,,,25 of 60,21 of 54,53 of 117,,,29 of 64,22 of 55,55 of 119,,,0 of 0,0 of 1,0 of 3,,,0,0.0,0.0,,,0,0.0,0.0,,,0:02,0:06,0:55,,,2,0.0,0.0,,,27 of 44,17 of 35,16 of 31,,,46 of 64,21 of 39,17 of 32,,,1 of 3,1 of 1,0 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,2:14,1:25,0:18,,,15 of 42,8 of 30,26 of 81,,,10 of 16,7 of 16,21 of 29,,,0 of 2,6 of 8,6 of 7,,,16 of 48,17 of 49,37 of 87,,,8 of 11,4 of 5,16 of 30,,,1 of 1,0 of 0,0 of 0,,,16 of 31,6 of 19,8 of 21,,,4 of 4,2 of 4,3 of 5,,,7 of 9,9 of 12,5 of 5,,,14 of 25,17 of 33,15 of 28,,,5 of 6,0 of 1,1 of 3,,,8 of 13,0 of 1,0 of 0,,,W,1978-08-04,1984-12-30,70.0,76.0,32.27718570538752,25.87048330903441,True,http://ufcstats.com/fighter-details/5b407acfe0ef9b76|http://ufcstats.com/fighter-details/84ac950d4c1722dd,0.745958429561201,False,False,1.2941176470588236,-339.99999999999994,6.406702396353108,6.0,-100.0
L,Ben Saunders,Dennis Hallman,http://ufcstats.com/fighter-details/484acc7b0f856ce9,http://ufcstats.com/fighter-details/8a8a84b743ae7699,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marcos Rosales,Nelson Hamilton 28 - 29. Susan Thomas-Gitlin 27 - 30. Alejandro Rochin 28 - 29.,Killa B,Superman,2010-08-07,"Oakland, California, USA",http://ufcstats.com/event-details/2f3f12002564bb55,0,0.0,0.0,,,1 of 1,6 of 12,23 of 32,,,9 of 11,11 of 17,34 of 44,,,0 of 0,0 of 0,0 of 0,,,0,1.0,0.0,,,0,0.0,0.0,,,0:00,0:00,0:00,,,0,0.0,0.0,,,9 of 19,9 of 15,10 of 21,,,25 of 38,38 of 46,33 of 48,,,1 of 3,1 of 1,1 of 2,,,0,0.0,0.0,,,0,0.0,0.0,,,4:49,4:13,2:47,,,0 of 0,1 of 6,16 of 24,,,1 of 1,5 of 6,7 of 8,,,0 of 0,0 of 0,0 of 0,,,1 of 1,4 of 10,15 of 23,,,0 of 0,2 of 2,8 of 9,,,0 of 0,0 of 0,0 of 0,,,9 of 19,7 of 12,8 of 18,,,0 of 0,1 of 1,0 of 1,,,0 of 0,1 of 2,2 of 2,,,0 of 0,1 of 5,2 of 9,,,0 of 2,1 of 1,3 of 5,,,9 of 17,7 of 9,5 of 7,,,L,1983-04-13,1975-12-02,77.0,72.0,27.31883611573133,34.681068057523426,False,http://ufcstats.com/fighter-details/484acc7b0f856ce9|http://ufcstats.com/fighter-details/8a8a84b743ae7699,0.7241379310344829,True,False,1.3333333333333333,-300.00000000000006,7.362231941792096,5.0,-100.0
L,Roy Nelson,Junior Dos Santos,http://ufcstats.com/fighter-details/3f7c14c7eca7195d,http://ufcstats.com/fighter-details/63def5a5662a6917,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marcos Rosales,Alejandro Rochin 27 - 30. Jon Schorle 26 - 30. Dan Stell 27 - 30.,Big Country,Cigano,2010-08-07,"Oakland, California, USA",http://ufcstats.com/event-details/2f3f12002564bb55,0,0.0,0.0,,,11 of 24,8 of 31,21 of 46,,,11 of 24,8 of 31,21 of 46,,,0 of 3,0 of 4,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:56,0:34,0:00,,,1,0.0,0.0,,,49 of 95,27 of 80,54 of 107,,,50 of 96,30 of 84,58 of 111,,,0 of 0,0 of 1,1 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,0:12,0:00,0:08,,,11 of 24,8 of 31,19 of 44,,,0 of 0,0 of 0,1 of 1,,,0 of 0,0 of 0,1 of 1,,,10 of 22,7 of 30,18 of 38,,,1 of 2,1 of 1,3 of 8,,,0 of 0,0 of 0,0 of 0,,,39 of 81,20 of 69,37 of 86,,,10 of 13,7 of 11,16 of 20,,,0 of 1,0 of 0,1 of 1,,,35 of 66,26 of 77,48 of 96,,,13 of 27,1 of 3,6 of 11,,,1 of 2,0 of 0,0 of 0,,,L,1976-06-20,1984-01-30,73.0,77.0,34.13074874911874,26.519367269690683,False,http://ufcstats.com/fighter-details/3f7c14c7eca7195d|http://ufcstats.com/fighter-details/63def5a5662a6917,0.762887971226855,False,True,1.289855072463768,-345.00000000000006,7.611381479428054,4.0,28.985507246376805
L,Todd Duffee,Mike Russow,http://ufcstats.com/fighter-details/bda04c573563cc2e,http://ufcstats.com/fighter-details/353de740bb6c7e75,Heavyweight Bout,KO/TKO,3,2:35,3 Rnd (5-5-5),Josh Rosenthal,Punch to Head At Distance,--,--,2010-05-29,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/bfc2fc38a0e20211,0,0.0,0.0,,,31 of 103,14 of 52,6 of 27,,,31 of 103,14 of 52,6 of 27,,,0 of 0,0 of 0,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:01,0:00,0:00,,,0,0.0,1.0,,,5 of 14,5 of 16,4 of 14,,,5 of 14,5 of 16,5 of 15,,,0 of 3,0 of 4,0 of 2,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,0:00,0:03,,,27 of 98,10 of 46,6 of 27,,,4 of 5,3 of 5,0 of 0,,,0 of 0,1 of 1,0 of 0,,,28 of 95,14 of 51,6 of 27,,,3 of 8,0 of 1,0 of 0,,,0 of 0,0 of 0,0 of 0,,,5 of 14,5 of 16,4 of 14,,,0 of 0,0 of 0,0 of 0,,,0 of 0,0 of 0,0 of 0,,,5 of 14,5 of 16,4 of 14,,,0 of 0,0 of 0,0 of 0,,,0 of 0,0 of 0,0 of 0,,,L,1985-12-06,1976-09-11,78.0,73.0,24.476888642477256,33.71184897704949,False,http://ufcstats.com/fighter-details/353de740bb6c7e75|http://ufcstats.com/fighter-details/bda04c573563cc2e,0.719626168224299,True,False,1.3636363636363638,-274.9999999999999,9.234960334572236,5.0,-100.0
W,Jon Jones,Vladimir Matyushenko,http://ufcstats.com/fighter-details/07f72a2a7591b409,http://ufcstats.com/fighter-details/ccdd90bd1fc7dab6,Light Heavyweight Bout,KO/TKO,1,1:52,3 Rnd (5-5-5),Herb Dean,Elbows to Head From Crucifix,Bones,The Janitor,2010-08-01,"San Diego, California, USA",http://ufcstats.com/event-details/f12f979b657ab876,0,,,,,15 of 16,,,,,17 of 18,,,,,1 of 1,,,,,0,,,,,0,,,,,0:54,,,,,0,,,,,0 of 5,,,,,0 of 5,,,,,0 of 0,,,,,0,,,,,0,,,,,0:00,,,,,12 of 12,,,,,2 of 3,,,,,1 of 1,,,,,3 of 4,,,,,0 of 0,,,,,12 of 12,,,,,0 of 5,,,,,0 of 0,,,,,0 of 0,,,,,0 of 5,,,,,0 of 0,,,,,0 of 0,,,,,W,1987-07-19,1971-01-04,84.0,74.0,23.036749556801304,39.57370787901189,True,http://ufcstats.com/fighter-details/07f72a2a7591b409|http://ufcstats.com/fighter-details/ccdd90bd1fc7dab6,0.8610349956940421,True,True,1.1329787234042552,-752.0000000000007,16.536958322210587,10.0,13.29787234042552
W,Michael McDonald,Chris Cariaso,http://ufcstats.com/fighter-details/d0314416a7f26527,http://ufcstats.com/fighter-details/b2e3aca4cd363477,Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Josh Rosenthal,Tony Weeks 30 - 27. Adalaide Byrd 28 - 29. Glenn Trowbridge 28 - 29.,Mayday,Kamikaze,2011-05-28,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/b732b326c362fb62,0,0.0,0.0,,,15 of 31,11 of 24,6 of 12,,,18 of 34,13 of 26,6 of 12,,,0 of 0,1 of 1,0 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,0:58,0:41,0:30,,,0,0.0,0.0,,,18 of 31,15 of 26,11 of 28,,,19 of 33,18 of 29,18 of 36,,,0 of 2,0 of 1,1 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,0:22,0:00,1:16,,,12 of 27,5 of 18,2 of 8,,,2 of 3,1 of 1,1 of 1,,,1 of 1,5 of 5,3 of 3,,,13 of 29,11 of 24,6 of 12,,,0 of 0,0 of 0,0 of 0,,,2 of 2,0 of 0,0 of 0,,,6 of 19,4 of 14,2 of 18,,,5 of 5,6 of 6,6 of 6,,,7 of 7,5 of 6,3 of 4,,,17 of 30,15 of 26,11 of 25,,,1 of 1,0 of 0,0 of 2,,,0 of 0,0 of 0,0 of 1,,,W,1991-01-15,1981-05-27,70.0,64.0,20.364552317980518,30.001984982580066,True,http://ufcstats.com/fighter-details/b2e3aca4cd363477|http://ufcstats.com/fighter-details/d0314416a7f26527,0.7769516728624535,True,True,1.263157894736842,-380.0000000000001,9.637432664599547,6.0,26.315789473684205
W,Tony Ferguson,Aaron Riley,http://ufcstats.com/fighter-details/22a92d7f62195791,http://ufcstats.com/fighter-details/f2c8ebbeafd45f2b,Lightweight Bout,TKO - Doctor's Stoppage,1,5:00,3 Rnd (5-5-5),Tom Johnson,Jaw Injury,El Cucuy,--,2011-09-24,"Denver, Colorado, USA",http://ufcstats.com/event-details/73ef22f25d0f70e2,0,,,,,31 of 82,,,,,31 of 82,,,,,0 of 0,,,,,0,,,,,0,,,,,0:02,,,,,0,,,,,11 of 49,,,,,11 of 49,,,,,0 of 0,,,,,0,,,,,0,,,,,0:00,,,,,22 of 67,,,,,6 of 8,,,,,3 of 7,,,,,29 of 79,,,,,2 of 3,,,,,0 of 0,,,,,3 of 35,,,,,4 of 7,,,,,4 of 7,,,,,11 of 49,,,,,0 of 0,,,,,0 of 0,,,,,W,1984-02-12,1980-12-09,76.0,69.0,27.614530072486087,30.790502200592755,True,http://ufcstats.com/fighter-details/22a92d7f62195791|http://ufcstats.com/fighter-details/f2c8ebbeafd45f2b,0.7600872410032715,True,True,1.2941176470588236,-339.99999999999994,3.175972128106668,7.0,29.41176470588236
W,Nate Diaz,Takanori Gomi,http://ufcstats.com/fighter-details/8355922d564b152c,http://ufcstats.com/fighter-details/3be081c29bf734d9,Lightweight Bout,Submission,1,4:27,3 Rnd (5-5-5),Mario Yamasaki,Armbar From Bottom,--,The Fireball Kid,2011-09-24,"Denver, Colorado, USA",http://ufcstats.com/event-details/73ef22f25d0f70e2,1,,,,,36 of 73,,,,,42 of 81,,,,,0 of 0,,,,,3,,,,,0,,,,,0:23,,,,,0,,,,,4 of 23,,,,,6 of 25,,,,,0 of 1,,,,,0,,,,,0,,,,,0:37,,,,,34 of 71,,,,,2 of 2,,,,,0 of 0,,,,,34 of 71,,,,,2 of 2,,,,,0 of 0,,,,,1 of 16,,,,,3 of 7,,,,,0 of 0,,,,,3 of 21,,,,,0 of 0,,,,,1 of 2,,,,,W,1985-04-16,1978-09-22,76.0,70.0,26.439967966488016,33.00546896924646,True,http://ufcstats.com/fighter-details/3be081c29bf734d9|http://ufcstats.com/fighter-details/8355922d564b152c,0.706429605127145,True,True,1.392156862745098,-255.00000000000003,6.565501002758442,6.0,39.2156862745098
L,Ben Rothwell,Mark Hunt,http://ufcstats.com/fighter-details/bd58d34e39b7b12a,http://ufcstats.com/fighter-details/eef9b891edbd4604,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Adam Martinez,Nelson Hamilton 28 - 29. Cecil Peoples 27 - 29. Mark Van Tine 27 - 30.,--,Super Samoan,2011-09-24,"Denver, Colorado, USA",http://ufcstats.com/event-details/73ef22f25d0f70e2,0,0.0,0.0,,,13 of 29,3 of 10,3 of 11,,,14 of 30,3 of 10,6 of 14,,,2 of 8,0 of 2,0 of 4,,,0,0.0,0.0,,,0,0.0,0.0,,,1:26,0:08,0:37,,,0,0.0,0.0,,,7 of 29,21 of 39,19 of 27,,,12 of 34,61 of 82,47 of 57,,,0 of 0,1 of 1,1 of 3,,,0,1.0,0.0,,,0,0.0,0.0,,,0:23,3:22,2:33,,,13 of 29,3 of 10,3 of 11,,,0 of 0,0 of 0,0 of 0,,,0 of 0,0 of 0,0 of 0,,,3 of 17,3 of 10,3 of 11,,,0 of 0,0 of 0,0 of 0,,,10 of 12,0 of 0,0 of 0,,,7 of 29,18 of 36,19 of 27,,,0 of 0,1 of 1,0 of 0,,,0 of 0,2 of 2,0 of 0,,,7 of 29,6 of 17,13 of 20,,,0 of 0,1 of 2,1 of 1,,,0 of 0,14 of 20,5 of 6,,,L,1981-10-17,1974-03-23,78.0,72.0,29.93627521441234,37.50658808873557,False,http://ufcstats.com/fighter-details/bd58d34e39b7b12a|http://ufcstats.com/fighter-details/eef9b891edbd4604,0.7661870503597122,True,False,1.2816901408450705,-354.9999999999999,7.570312874323228,6.0,-100.0
W,Phil Davis,Rogerio Nogueira,http://ufcstats.com/fighter-details/902ab9197b83d0db,http://ufcstats.com/fighter-details/73e09f837f3b5ecc,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Sal D'amato 27 - 30. Lester Griffin 27 - 30. Glenn Trowbridge 27 - 30.,Mr. Wonderful,Minotouro,2011-03-26,"Seattle, Washington, USA",http://ufcstats.com/event-details/8a59d346dc976a10,0,0.0,0.0,,,12 of 31,21 of 44,9 of 26,,,19 of 38,38 of 70,15 of 35,,,0 of 5,2 of 3,2 of 3,,,0,0.0,0.0,,,0,0.0,0.0,,,0:40,1:59,3:30,,,0,0.0,0.0,,,5 of 24,2 of 22,1 of 8,,,5 of 24,2 of 22,9 of 22,,,0 of 0,0 of 0,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,0:00,0:00,,,1 of 14,13 of 33,4 of 20,,,5 of 9,6 of 8,5 of 6,,,6 of 8,2 of 3,0 of 0,,,7 of 25,7 of 28,3 of 12,,,5 of 6,0 of 0,0 of 0,,,0 of 0,14 of 16,6 of 14,,,4 of 22,2 of 22,1 of 8,,,0 of 1,0 of 0,0 of 0,,,1 of 1,0 of 0,0 of 0,,,5 of 24,2 of 22,1 of 8,,,0 of 0,0 of 0,0 of 0,,,0 of 0,0 of 0,0 of 0,,,W,1984-09-25,1976-06-02,79.0,75.0,26.497464013634776,34.812487593858876,True,http://ufcstats.com/fighter-details/73e09f837f3b5ecc|http://ufcstats.com/fighter-details/902ab9197b83d0db,0.706429605127145,True,True,1.392156862745098,-255.00000000000003,8.3150235802241,4.0,39.2156862745098
W,Alexander Gustafsson,James Te Huna,http://ufcstats.com/fighter-details/3c6976f8182d9527,http://ufcstats.com/fighter-details/f5431394fb284bb9,Light Heavyweight Bout,Submission,1,4:27,3 Rnd (5-5-5),Marc Goddard,Rear Naked Choke,The Mauler,--,2011-02-26,"Sydney, New South Wales, Australia",http://ufcstats.com/event-details/88a9bc81271ccd89,0,,,,,4 of 9,,,,,17 of 22,,,,,1 of 2,,,,,2,,,,,0,,,,,0:57,,,,,0,,,,,6 of 6,,,,,34 of 34,,,,,1 of 4,,,,,0,,,,,0,,,,,2:55,,,,,4 of 9,,,,,0 of 0,,,,,0 of 0,,,,,0 of 3,,,,,0 of 0,,,,,4 of 6,,,,,6 of 6,,,,,0 of 0,,,,,0 of 0,,,,,0 of 0,,,,,0 of 0,,,,,6 of 6,,,,,W,1987-01-15,1981-09-29,79.0,75.0,24.115484917554774,29.410597069070548,True,http://ufcstats.com/fighter-details/3c6976f8182d9527|http://ufcstats.com/fighter-details/f5431394fb284bb9,0.7520661157024794,True,True,1.2857142857142856,-350.00000000000017,5.295112151515774,4.0,28.57142857142856
W,Jon Jones,Ryan Bader,http://ufcstats.com/fighter-details/07f72a2a7591b409,http://ufcstats.com/fighter-details/c0ab242c40decc55,Light Heavyweight Bout,Submission,2,4:20,3 Rnd (5-5-5),Herb Dean,Guillotine Choke From Half Guard,Bones,Darth,2011-02-05,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/65ddc8a9ac4e8531,0,0.0,,,,12 of 17,8 of 25,,,,21 of 27,10 of 27,,,,1 of 1,1 of 1,,,,1,2.0,,,,0,0.0,,,,3:38,0:44,,,,0,0.0,,,,0 of 7,5 of 17,,,,2 of 9,6 of 18,,,,0 of 1,0 of 1,,,,0,0.0,,,,0,0.0,,,,0:00,0:00,,,,3 of 8,1 of 17,,,,9 of 9,1 of 1,,,,0 of 0,6 of 7,,,,2 of 4,8 of 25,,,,0 of 0,0 of 0,,,,10 of 13,0 of 0,,,,0 of 7,3 of 14,,,,0 of 0,0 of 1,,,,0 of 0,2 of 2,,,,0 of 7,5 of 17,,,,0 of 0,0 of 0,,,,0 of 0,0 of 0,,,,W,1987-07-19,1983-06-07,84.0,74.0,23.551476074115143,27.66655030561887,True,http://ufcstats.com/fighter-details/07f72a2a7591b409|http://ufcstats.com/fighter-details/c0ab242c40decc55,0.7260371450935743,True,True,1.350877192982456,-285.00000000000017,4.115074231503726,10.0,35.08771929824559
W,Jon Jones,Lyoto Machida,http://ufcstats.com/fighter-details/07f72a2a7591b409,http://ufcstats.com/fighter-details/f7a7f7118d4b01b6,UFC Light Heavyweight Title Bout,Submission,2,4:26,5 Rnd (5-5-5-5-5),John McCarthy,"Guillotine Choke Standing
      Technical Submission",Bones,The Dragon,2011-12-10,"Toronto, Ontario, Canada",http://ufcstats.com/event-details/6d7886b094b471ac,0,1.0,,,,8 of 27,16 of 26,,,,8 of 27,18 of 28,,,,0 of 0,1 of 2,,,,0,1.0,,,,0,0.0,,,,0:00,1:27,,,,0,0.0,,,,8 of 25,5 of 13,,,,8 of 25,5 of 13,,,,0 of 0,0 of 1,,,,0,0.0,,,,0,0.0,,,,0:00,0:00,,,,1 of 10,5 of 11,,,,0 of 4,6 of 9,,,,7 of 13,5 of 6,,,,8 of 26,6 of 14,,,,0 of 1,7 of 8,,,,0 of 0,3 of 4,,,,4 of 19,3 of 10,,,,2 of 3,0 of 1,,,,2 of 3,2 of 2,,,,8 of 23,5 of 12,,,,0 of 2,0 of 1,,,,0 of 0,0 of 0,,,,W,1987-07-19,1978-05-30,84.0,74.0,24.394751432267604,33.53114711458825,True,http://ufcstats.com/fighter-details/07f72a2a7591b409|http://ufcstats.com/fighter-details/f7a7f7118d4b01b6,0.8111658456486044,True,True,1.2105263157894737,-475.0,9.136395682320646,10.0,21.052631578947366
L,Vladimir Matyushenko,Alexander Gustafsson,http://ufcstats.com/fighter-details/ccdd90bd1fc7dab6,http://ufcstats.com/fighter-details/3c6976f8182d9527,Light Heavyweight Bout,KO/TKO,1,2:13,3 Rnd (5-5-5),Yves Lavigne,Punch to Head At Distance,The Janitor,The Mauler,2011-12-30,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/91720876db0ee468,0,,,,,5 of 8,,,,,7 of 11,,,,,0 of 0,,,,,0,,,,,0,,,,,0:00,,,,,1,,,,,10 of 21,,,,,14 of 26,,,,,0 of 0,,,,,0,,,,,0,,,,,0:04,,,,,4 of 7,,,,,1 of 1,,,,,0 of 0,,,,,5 of 8,,,,,0 of 0,,,,,0 of 0,,,,,7 of 17,,,,,1 of 1,,,,,2 of 3,,,,,6 of 15,,,,,0 of 0,,,,,4 of 6,,,,,L,1971-01-04,1987-01-15,74.0,79.0,40.98646789461796,24.956022368700246,False,http://ufcstats.com/fighter-details/3c6976f8182d9527|http://ufcstats.com/fighter-details/ccdd90bd1fc7dab6,0.7542857142857142,False,True,1.303030303030303,-330.00000000000006,16.030445525917713,5.0,30.303030303030297
W,Louis Gaudinot,John Lineker,http://ufcstats.com/fighter-details/b72a60a0cadff408,http://ufcstats.com/fighter-details/c268b2cfebccf652,Flyweight Bout,Submission,2,4:54,3 Rnd (5-5-5),Keith Peterson,Guillotine Choke After Drop to Guard,Goodnight,Hands of Stone,2012-05-05,"East Rutherford, New Jersey, USA",http://ufcstats.com/event-details/5898357a45a73674,0,0.0,,,,36 of 77,29 of 55,,,,44 of 88,50 of 81,,,,1 of 1,1 of 1,,,,0,1.0,,,,0,0.0,,,,1:33,2:11,,,,0,0.0,,,,64 of 133,32 of 79,,,,79 of 150,42 of 90,,,,0 of 0,0 of 0,,,,0,0.0,,,,0,0.0,,,,0:00,0:14,,,,28 of 67,24 of 46,,,,7 of 9,4 of 8,,,,1 of 1,1 of 1,,,,32 of 70,19 of 37,,,,1 of 2,1 of 3,,,,3 of 5,9 of 15,,,,42 of 104,23 of 61,,,,17 of 24,8 of 16,,,,5 of 5,1 of 2,,,,60 of 129,30 of 75,,,,1 of 1,2 of 4,,,,3 of 3,0 of 0,,,,W,1984-08-28,1990-06-12,63.0,67.0,27.68571565466779,21.897780241894083,True,http://ufcstats.com/fighter-details/b72a60a0cadff408|http://ufcstats.com/fighter-details/c268b2cfebccf652,0.7146765683017393,False,False,1.3773584905660377,-265.00000000000006,5.787935412773706,4.0,-100.0
