track,price_band,venue,concept,conditions,full_n,full_wins,full_win_pct,full_roi,train_n,train_roi,validation_n,validation_roi,holdout_n,holdout_roi,positive_season_ratio,recent_delta,weather_research_only,preferred,score
LONG,PK_55,AWAY,RUN_HEAVY,"[[""opp_pre_run_rate"", "">="", 0.3864734299516908], [""recent_edge_punt_return_average"", "">="", 4.394444444444446]]",95,64,0.6736842105263158,0.3657486966836113,43,0.2627740026295039,26,0.40942692562202726,26,0.49237476945006536,0.7,0.1562743053242998,False,True,0.4944298010889119
LONG,DOG20_34,AWAY,RUN_HEAVY,"[[""recent3_run_rate"", "">="", 0.47805328197721075], [""rank_edge_points_against"", "">="", -5.0]]",123,43,0.34959349593495936,0.22756097560975608,67,0.08388059701492537,25,0.17479999999999996,31,0.5806451612903227,0.8,0.4513048627828601,False,True,0.48546394040072405
LONG,DOG35_49,AWAY,RUN_HEAVY,"[[""pre_run_rate"", "">="", 0.4667437246300308], [""recent_edge_punt_return_average"", "">="", 0.2999999999999989]]",125,73,0.584,0.37528,56,0.4828571428571428,28,0.1242857142857143,41,0.39975609756097563,0.7894736842105263,0.09618466898954708,False,True,0.4698441430998209
LONG,FAV55_65,AWAY,RUN_HEAVY,"[[""run_rate_edge"", "">="", -0.03272698670140099], [""recent_edge_kick_return_average"", "">="", 4.361805555555557]]",94,72,0.7659574468085106,0.2789875908433612,45,0.21765230152514775,20,0.2709180648683426,29,0.3797282301130157,0.8,0.13544304691627054,False,True,0.4655361370777283
MODERN,FAV65_75,AWAY,RUN_HEAVY,"[[""recent3_run_rate"", ""<="", 0.4], [""rank_edge_fg_accuracy"", ""<="", 10.5]]",105,88,0.8380952380952381,0.20989529603395443,27,0.14003671838281595,20,0.20182389499822756,32,0.35224408654989064,0.8,0.1813137798593689,False,True,0.4573865143576148
LONG,DOG35_49,ANY,RUN_HEAVY,"[[""pre_run_rate"", "">="", 0.462580750311148], [""rank_edge_def_allowed_yards_per_play"", ""<="", -2.0]]",182,104,0.5714285714285714,0.36934065934065935,79,0.3832911392405063,39,0.3364102564102564,64,0.3721875,0.75,0.012336802174618633,False,True,0.44340635722362187
LONG,DOG35_49,ANY,RUN_HEAVY,"[[""opp_recent3_run_rate"", "">="", 0.48314135842526496], [""rank_edge_def_allowed_off_epa_per_play"", ""<="", -10.5]]",132,71,0.5378787878787878,0.299469696969697,51,0.27431372549019606,34,0.19882352941176468,47,0.3995744680851064,0.7,0.16300584063412601,False,True,0.44300877692200924
MODERN,DOG35_44,HOME,ROAD_STREAK,"[[""road_prior_streak"", "">="", 1.0], [""rank_edge_sack_or_hit_rate"", ""<="", -13.0]]",108,50,0.46296296296296297,0.17379629629629634,31,0.19967741935483868,22,0.18500000000000003,28,0.4321428571428572,0.7,0.23980414746543788,False,True,0.4210099325115124
LONG,DOG35_49,AWAY,RUN_HEAVY,"[[""opp_recent3_run_rate"", "">="", 0.4876835335517534], [""recent_edge_punt_return_average"", "">="", 0.2999999999999989]]",115,60,0.5217391304347826,0.24791304347826082,49,0.13551020408163267,29,0.2862068965517241,37,0.3667567567567568,0.7,0.1558982064400784,False,True,0.4176439866105747
LONG,FAV55_65,AWAY,ROAD_STREAK,"[[""road_prior_streak"", "">="", 1.0], [""fatigue_load_index"", "">="", 2.012837157583724]]",98,71,0.7244897959183674,0.21088908021021768,25,0.13716824630791524,35,0.19560750376880975,38,0.27346476502618705,0.8,0.10707688998782455,False,True,0.4107261921364268
